# id	left	top	right	bottom	texture_id
[SPRITES]
# IDLE
10001	15	27	66	72	10
10002	82	27	132	72	10
10003	147	27	197	72	10
10004	211	28	263	72	10
10005	279	28	332	72	10
10006	347	28	400	72	10
10007	415	27	465	71	10

#WALKING
10100	15	90	66	134	10
10101	82	90	130	135	10
10102	150	90	199	135	10
10103	210	91	259	135	10
10104	275	91	323	135	10
10105	349	91	400	135	10
10106	415	91	465	135	10
#DIE
10600	27	892	81	936	10
10601	94	893	79	936	10
10602	161	894	214	936	10
10603	232	892	288	936	10
10604	306	887	369	936	10
10605	383	884	449	936	10
10606	471	884	536	936	10
10607	29	955	99	1006	10
10608	112	956	181	1006	10
10609	196	963	260	1006	10
10610	272	955	340	1006	10
10611	354	954	422	1006	10
10612	443	950	511	1006	10
10613	26	1015	94	1071	10
10614	103	1014	172	1071	10
10615	190	1015	258	1071	10
10616	278	1015	350	1071	10
10617	351	1016	424	1071	10
10618	439	1018	510	1071	10
10619	523	1019	592	1071	10
10620	31	1087	96	1138	10
10621	101	1124	156	1138	10
10622	171	1127	220	1138	10
10623	226	1130	267	1138	10
10624	273	1131	306	1138	10
10625	320	1136	343	1139	10
10626	358	1138	371	1139	10

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
5000	10100	100	10101	100	10102	100	10103	100	10104	100	10105	100	10106	100
5001	10600	100	10601	100	10602	100	10603	100	10604	100	10605	100	10606	100
5002	10001	100	10002	100	10003	100	10004	100	10005	100	10006	100	10007	100
